CVE-ID,Package,Version,verification,dependency-check,V1finder
CVE-2022-3821,ubuntu/+source/network-manager,1.48.8-1ubuntu3,x,-,-
,,1.46.0-1ubuntu2,x,-,-
,,1.36.6-0ubuntu2,x,-,-
,,1.22.10-1ubuntu2.4,x,-,CVE-2020-1712
,,1.10.6-2ubuntu1.5,x,-,CVE-2020-1712
,,1.2.6-0ubuntu0.16.04.4,x,-,CVE-2020-1712
,,0.9.8.8-0ubuntu7.3,x,-,CVE-2020-1712
,ubuntu/+source/casync,2+20201210-2build3,x,-,-
,,2+20201210-1build1,x,-,-
,,2+20190213-1,x,-,-
,,2+61.20180112-1,x,-,-
CVE-2022-3626,ubuntu/+source/sfftobmp,3.1.3-9build2,√,-,"CVE-2018-17795,CVE-2016-10269,CVE-2017-5225,CVE-2018-5784,CVE-2016-9535"
,,3.1.3-8,√,-,"CVE-2016-10269,CVE-2016-9535,CVE-2018-17795,CVE-2016-9535,CVE-2018-5784,CVE-2017-5225,CVE-2016-10269,CVE-2015-8784"
,,3.1.3-7build1,√,-,"CVE-2017-5225,CVE-2016-9535,CVE-2016-10269,CVE-2018-5784,CVE-2015-8784,CVE-2018-17795,CVE-2016-9535,CVE-2016-10269"
,,3.1.3-5build5,√,-,"CVE-2016-9535,CVE-2016-10269,CVE-2017-5225,CVE-2018-17795,CVE-2018-5784,CVE-2015-8784"
,,3.1.3-5build1,√,-,"CVE-2016-10269,CVE-2016-9535,CVE-2018-5784,CVE-2017-5225,CVE-2015-8784,CVE-2018-17795"
,,3.1.3-3ubuntu2,√,-,"CVE-2018-17795,CVE-2017-5225,CVE-2016-10269,CVE-2018-5784,CVE-2016-9535,CVE-2015-8784"
,ubuntu/+source/libtk-img,1:1.4.16+dfsg1-2,x,-,CVE-2019-14973
,,1:1.4.16+dfsg1-1build2,x,-,CVE-2019-14973
,,1:1.4.13+dfsg-1,√,-,"CVE-2018-18557,CVE-2019-14973,CVE-2018-7456"
,,1:1.4.9+dfsg-1,√,-,"CVE-2015-8784,CVE-2018-5784,CVE-2016-10269,CVE-2016-9535,CVE-2018-17795,CVE-2017-5225"
,,1:1.4.7+dfsg-2,√,-,"CVE-2016-10269,CVE-2016-9535,CVE-2017-5225,CVE-2018-5784,CVE-2015-8784,CVE-2018-17795"
,,1:1.4.2+dfsg-2,√,-,"CVE-2015-8784,CVE-2018-5784,CVE-2016-10269,CVE-2018-17795,CVE-2017-5225,CVE-2016-9535"
,,1:1.4.2-4ubuntu1,√,-,"CVE-2017-5225,CVE-2016-10269,CVE-2018-5784,CVE-2018-17795,CVE-2015-8784,CVE-2016-9535"
CVE-2022-39028,ubuntu/+source/netkit-telnet,0.17-44build1,x,-,-
,,0.17-41.2build1,x,-,-
,,0.17-41,x,-,-
,,0.17-40,x,-,-
,,0.17-36build2,x,-,-
,ubuntu/+source/netkit-telnet-ssl,0.17.41+really0.17-5,x,-,-
,,0.17.41+really0.17-4build2,x,-,-
,,0.17.41+0.2-3.3build2,x,-,-
,,0.17.41+0.2-3.2build1,x,-,-
,,0.17.41+0.2-3build1,x,-,-
,,0.17.40+0.2-1,x,-,-
,,0.17.24+0.1-24,x,-,-
CVE-2022-3970,ubuntu/+source/qt6-imageformats,6.6.2-2,x,-,-
,,6.4.2-5build2,x,-,-
,,6.2.4-1,x,-,-
,ubuntu/+source/qtimageformats-opensource-src,5.15.13-2,x,-,-
,,5.15.13-1,x,-,-
,,5.15.3-1,x,-,"CVE-2018-7456,CVE-2018-18557,CVE-2019-14973"
,,5.12.8-0ubuntu1,x,-,"CVE-2018-7456,CVE-2018-18557,CVE-2019-14973"
,,5.9.5-0ubuntu1,x,-,"CVE-2019-14973,CVE-2018-18557,CVE-2018-19210,CVE-2018-17000,CVE-2018-7456"
,,5.5.1-2build1,x,-,"CVE-2015-8784,CVE-2016-10269,CVE-2016-9535,CVE-2019-14973,CVE-2018-7456,CVE-2016-10270,CVE-2018-17000"
,,5.2.1-1,x,-,"CVE-2015-8784,CVE-2016-10269,CVE-2016-9535,CVE-2019-14973,CVE-2018-7456,CVE-2016-10270,CVE-2018-17000"
,ubuntu/+source/libgrokj2k,10.0.5-1build4,x,-,-
,ubuntu/+source/gdal,3.9.1+dfsg-1build2,x,-,-
,,3.8.4+dfsg-3ubuntu3,x,-,-
,,3.4.1+dfsg-1build4,√,-,-
,,3.0.4+dfsg-1build3,√,-,CVE-2019-14973
,,2.2.3+dfsg-2,√,-,"CVE-2018-7456,CVE-2019-14973,CVE-2018-17000"
,,1.11.3+dfsg-3build2,√,-,"CVE-2019-14973,CVE-2015-8784,CVE-2016-9535,CVE-2016-10269,CVE-2018-17000,CVE-2016-10270"
,,1.10.1+dfsg-5ubuntu1,√,-,"CVE-2018-7456,CVE-2019-14973,CVE-2015-8784,CVE-2016-9535,CVE-2016-10269,CVE-2018-17000,CVE-2016-10270"
CVE-2022-38072,ubuntu/+source/slic3r,1.3.0+dfsg1-5build6,√,-,-
,,1.3.0+dfsg1-5build1,√,-,-
,,1.3.0+dfsg1-3ubuntu1,√,-,-
,,1.2.9+dfsg-9,√,-,-
,,1.2.9+dfsg-2build1,√,-,-
CVE-2023-0798,ubuntu/+source/libtk-img,1:1.4.16+dfsg1-2,√,-,CVE-2019-14973
,,1:1.4.16+dfsg1-1build2,√,-,CVE-2019-14973
,,1:1.4.13+dfsg-1,√,-,"CVE-2018-18557,CVE-2018-7456,CVE-2019-14973"
,,1:1.4.9+dfsg-1,√,-,"CVE-2018-17795,CVE-2018-5784,CVE-2016-9535,CVE-2015-8784,CVE-2016-10269,CVE-2017-5225"
,,1:1.4.7+dfsg-2,√,-,"CVE-2018-17795,CVE-2018-5784,CVE-2016-9535,CVE-2015-8784,CVE-2016-10269,CVE-2017-5225"
,,1:1.4.2+dfsg-2,√,-,"CVE-2018-17795,CVE-2018-5784,CVE-2016-9535,CVE-2015-8784,CVE-2016-10269,CVE-2017-5225"
,,1:1.4.2-4ubuntu1,√,-,"CVE-2018-17795,CVE-2018-5784,CVE-2016-9535,CVE-2015-8784,CVE-2016-10269,CVE-2017-5225"
